en	de
English	Deutsch
lat	lat
0123456789!()\/_:&*	0123456789!()\/_:&*
Buy	Besorgen
Workshop	Werkstatt
Hydraulic fence	Hydraulikzaun
Sorting of details	Sortieren von Details
Waterproofing	Wasserdichtung
Preprocessing of details	Vorverarbeitung von Details
Equipment calibration	Gerätekalibrierung
Supply management	Versorgungsmanagement
Magnets	Magnete
Back to menu	Zurück zum Menü
Settings	Einstellungen
Play	Spielen
Upgrades	Upgrades
Coins:	Münzen:
EXIT	AUSFAHRT
Set the level	Setzen Sie das Level
New level	Neues level
Sell All	Alles verkaufen
Details:	Einzelheiten:
Watch Add	Add add
Restart	Neu starten
Max Detail	Max detailliert
Advertisement watched	Werbung beobachtet
Recived coins:	Aufgegebene Münzen:
volume	Volumen
This is my attempt to discribe workshop. This update allows you to collect all low-level details and combine them into one mid-level. The primary usage is to get rid of all low-level details in the middle of your field. The higher level, the higher probability of catching a detail, the range of collection (starts from only bolts, then single gears), and cooldown speed.	Dies ist mein Versuch, den Workshop zu beschreiben. Mit diesem Update können Sie alle Details auf niedriger Ebene sammeln und sie in einer mittleren Ebene kombinieren. Die Hauptverwendung besteht darin, alle Details auf niedriger Ebene in der Mitte Ihres Feldes loszuwerden. Die höhere Ebene, die höhere Wahrscheinlichkeit, ein Detail zu fangen, der Sammelbereich (beginnt nur von Schrauben, dann einzelne Zahnräder) und die Abklingzeit.
